,,Total,A1 Are you...?,,A2 What is your age?,,,,,,A3 What is your ethnic group?,,,,,,,,,,,A6 Which region or nation do you live in?,,,,,,,,,,,,"Q2 More specifically, what is the highest level of educational qualifications you have achieved?",,,,,,,,Q4 Thinking about the property you live in. Does your household own or rent this accommodation?,,,,,,,Q8 What is your religion?,,,,,,,,Q13 Were either of your parents born outside the United Kingdom?,,,A5 Were you born in the UK?,,"Q48 Some people say the following things are important for being ""truly British'.   Which of the following do you think is most important? Please select up to three. |",,,,,,,,,,,,"Q51.1_2: Q51.1 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | Black and minority ethnic people",,,"Q51.2_2: Q51.2 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | White people",,,"Q51.3_2: Q51.3 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | Poor people",,,"Q51.4_2: Q51.4 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | Old people",,,"Q51.5_2: Q51.5 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | Young people",,,"Q51.6_2: Q51.6 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | People on welfare benefits",,,"Q51.7_2: Q51.7 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | LGBTQ+ people",,
,1 to 2 hours,21%,23%,19%,13%,19%,26%,18%,26%,18%,18%,23%,23%,17%,19%,24%,23%,19%,12%,22%,33%,14%,18%,22%,28%,21%,40%,17%,30%,24%,17%,3%,24%,6%,17%,21%,15%,32%,22%,13%,25%,19%,18%,9%,23%,26%,15%,4%,33%,23%,21%,100%,18%,22%,15%,11%,19%,25%,14%,18%,22%,20%,21%,30%,20%,23%,26%,20%,19%,33%,26%,19%,13%,24%,21%,19%,20%,21%,23%,24%,18%,22%,23%,20%,19%,22%,20%,21%,22%,18%,23%,21%,20%,22%
,More than 2 hours,12%,13%,11%,9%,10%,13%,14%,14%,8%,9%,10%,10%,9%,16%,16%,14%,11%,15%,11%,15%,7%,14%,13%,13%,11%,10%,12%,19%,12%,12%,3%,12%,16%,10%,6%,11%,11%,14%,13%,14%,10%,10%,8%,12%,17%,5%,11%,4%,16%,7%,0%,11%,10%,13%,7%,11%,14%,1%,12%,13%,10%,14%,15%,13%,12%,15%,11%,13%,15%,13%,11%,8%,12%,12%,12%,12%,11%,16%,11%,11%,14%,9%,12%,16%,12%,11%,15%,12%,11%,15%,13%,11%,13%
,Don't know,5%,4%,5%,3%,5%,5%,5%,4%,6%,2%,4%,3%,2%,8%,4%,3%,3%,23%,1%,6%,10%,5%,4%,5%,6%,5%,4%,3%,1%,3%,35%,1%,12%,6%,10%,4%,10%,2%,16%,1%,6%,4%,0%,3%,2%,0%,53%,3%,4%,1%,0%,4%,4%,7%,34%,3%,4%,50%,5%,5%,2%,2%,2%,2%,3%,1%,3%,3%,0%,1%,2%,25%,6%,5%,3%,4%,5%,5%,6%,4%,4%,4%,4%,5%,5%,4%,5%,5%,4%,6%,5%,4%,5%
,NET,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q19.3 During the last seven days, on average how much time (if any) have you spent per day following news or current affairs from each of these sources? | Radio",Unweighted base,2780,1294,1473,395,720,743,488,337,97,158,101,527,451,45,545,210,353,181,145,64,159,198,772,129,366,40,237,86,51,467,24,244,67,210,262,478,73,323,128,1239,618,329,20,720,961,59,73,76,1086,232,6,748,474,112,46,1655,1069,56,651,1808,521,1006,340,592,986,270,930,1008,210,346,624,219,488,998,1294,1593,787,400,648,1222,910,976,1262,542,1038,1259,483,743,1301,736,745,1201,834
,Weighted base,2633,1343,1269,327,608,672,613,314,99,130,137,473,404,85,452,178,282,202,231,60,174,180,707,98,340,42,224,72,45,477,29,239,80,246,287,502,76,278,140,1023,626,471,24,867,534,62,49,55,868,250,11,888,357,134,70,1746,829,59,717,1577,476,970,284,583,966,219,881,1002,154,287,586,211,474,965,1194,1549,751,333,630,1178,825,918,1250,465,994,1226,413,691,1284,658,734,1146,752
,Less than 1/2 an hour,32%,30%,33%,47%,35%,27%,30%,27%,24%,44%,47%,34%,34%,37%,23%,24%,38%,28%,24%,26%,35%,36%,28%,29%,30%,23%,31%,33%,25%,36%,28%,35%,28%,35%,27%,41%,20%,26%,39%,29%,35%,31%,37%,33%,26%,40%,15%,30%,27%,36%,31%,35%,32%,39%,17%,37%,22%,8%,34%,31%,32%,32%,18%,33%,33%,26%,33%,32%,23%,25%,32%,34%,24%,34%,33%,34%,33%,19%,27%,37%,28%,31%,35%,23%,32%,34%,24%,29%,37%,25%,29%,35%,29%
,1/2 hour to 1 hour,26%,26%,26%,28%,26%,27%,25%,27%,25%,28%,15%,26%,29%,26%,29%,27%,23%,18%,30%,26%,19%,29%,28%,28%,23%,22%,28%,29%,24%,25%,14%,29%,14%,24%,29%,22%,28%,33%,17%,28%,26%,26%,33%,27%,25%,28%,14%,29%,27%,29%,39%,28%,22%,20%,9%,25%,28%,23%,28%,25%,27%,28%,33%,26%,28%,29%,27%,26%,28%,29%,25%,16%,31%,26%,25%,26%,25%,28%,32%,22%,27%,29%,24%,26%,26%,25%,28%,31%,24%,26%,28%,25%,25%
,1 to 2 hours,22%,24%,21%,15%,20%,27%,24%,23%,20%,14%,22%,25%,22%,25%,24%,24%,18%,15%,27%,32%,20%,21%,24%,20%,24%,33%,23%,17%,25%,22%,11%,20%,22%,22%,22%,16%,30%,25%,16%,25%,20%,19%,17%,22%,30%,19%,10%,29%,23%,24%,10%,20%,24%,27%,26%,20%,27%,21%,19%,25%,26%,21%,30%,22%,20%,27%,23%,24%,30%,27%,22%,17%,24%,22%,22%,21%,24%,27%,23%,21%,24%,22%,20%,28%,23%,21%,26%,22%,21%,26%,22%,21%,24%
,More than 2 hours,16%,17%,15%,6%,16%,16%,17%,20%,27%,12%,16%,13%,12%,7%,20%,23%,19%,18%,17%,15%,18%,12%,16%,18%,18%,18%,13%,19%,16%,15%,36%,14%,16%,14%,16%,17%,12%,14%,14%,17%,15%,19%,8%,15%,18%,11%,7%,8%,20%,11%,20%,14%,18%,12%,14%,15%,18%,4%,15%,16%,13%,16%,19%,15%,16%,16%,14%,15%,19%,17%,18%,17%,14%,14%,18%,16%,14%,23%,13%,15%,19%,14%,17%,19%,15%,16%,19%,14%,15%,19%,15%,15%,20%
,Don't know,4%,3%,5%,4%,4%,4%,4%,3%,4%,2%,0%,2%,3%,4%,3%,2%,2%,20%,3%,1%,8%,2%,3%,6%,6%,5%,4%,3%,10%,2%,12%,2%,20%,5%,6%,4%,10%,2%,14%,1%,3%,5%,5%,3%,2%,2%,54%,3%,3%,0%,0%,4%,3%,2%,34%,3%,4%,45%,4%,4%,2%,2%,1%,3%,3%,2%,2%,3%,0%,2%,3%,17%,7%,4%,2%,3%,5%,4%,5%,5%,2%,4%,4%,5%,3%,4%,4%,4%,4%,5%,6%,4%,3%
,NET,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q19.4 During the last seven days, on average how much time (if any) have you spent per day following news or current affairs from each of these sources? | Social media",Unweighted base,3622,1577,2024,704,968,896,600,365,89,263,126,663,630,59,663,256,483,224,180,75,213,228,1012,150,480,54,308,108,60,634,36,330,95,265,358,730,88,398,173,1515,901,514,31,914,1057,104,101,83,1307,296,9,1122,615,134,56,2312,1245,65,962,2239,706,1254,396,756,1273,307,1252,1303,246,399,835,327,600,1269,1753,2199,986,437,800,1607,1215,1297,1678,647,1368,1679,575,941,1742,939,956,1582,1084
,Weighted base,3506,1672,1805,591,844,845,775,353,97,230,156,599,576,124,556,218,399,266,304,79,227,213,964,120,456,54,291,96,57,644,44,330,120,306,393,756,96,348,201,1285,906,715,41,1089,585,101,67,62,1074,324,16,1317,471,154,88,2433,999,74,1079,1998,659,1239,349,770,1263,251,1198,1310,181,343,806,328,588,1269,1649,2160,974,372,795,1571,1140,1250,1665,591,1332,1654,520,899,1724,883,958,1544,1005
,Less than 1/2 an hour,18%,18%,18%,16%,14%,15%,23%,21%,36%,16%,32%,21%,19%,8%,10%,23%,19%,17%,15%,16%,29%,13%,17%,14%,16%,14%,21%,16%,20%,15%,37%,20%,16%,23%,19%,21%,16%,14%,22%,15%,13%,20%,14%,20%,19%,24%,6%,16%,15%,24%,15%,16%,25%,20%,12%,19%,15%,11%,16%,19%,16%,19%,12%,16%,18%,11%,18%,17%,12%,14%,22%,19%,14%,18%,19%,19%,17%,10%,19%,19%,15%,17%,20%,13%,19%,18%,12%,16%,20%,16%,14%,20%,19%
,1/2 hour to 1 hour,21%,22%,20%,18%,20%,20%,23%,28%,14%,22%,14%,27%,25%,9%,18%,22%,24%,15%,15%,19%,20%,31%,22%,16%,20%,21%,18%,24%,20%,22%,17%,18%,13%,26%,28%,20%,25%,22%,19%,19%,19%,20%,31%,20%,25%,23%,21%,24%,20%,24%,36%,20%,21%,23%,20%,21%,22%,19%,19%,23%,23%,21%,20%,20%,21%,21%,19%,22%,17%,21%,23%,18%,23%,22%,20%,22%,21%,19%,22%,21%,20%,21%,21%,21%,21%,21%,21%,23%,20%,21%,21%,21%,21%
,1 to 2 hours,22%,23%,21%,19%,21%,23%,22%,26%,24%,19%,29%,18%,22%,25%,27%,23%,19%,17%,25%,22%,11%,21%,25%,35%,18%,27%,20%,21%,21%,23%,11%,24%,26%,16%,18%,21%,19%,27%,14%,25%,21%,19%,24%,23%,27%,21%,12%,25%,24%,20%,19%,20%,23%,20%,17%,20%,28%,12%,21%,22%,26%,23%,27%,24%,22%,28%,24%,21%,30%,24%,20%,14%,27%,22%,20%,21%,22%,31%,24%,22%,21%,23%,20%,24%,22%,21%,25%,23%,22%,21%,26%,20%,21%
,More than 2 hours,36%,34%,38%,45%,43%,37%,29%,23%,23%,42%,26%,32%,32%,47%,43%,31%,36%,33%,43%,35%,35%,32%,34%,27%,42%,30%,38%,36%,29%,39%,24%,37%,36%,31%,30%,36%,35%,35%,34%,40%,44%,37%,28%,35%,27%,31%,26%,35%,37%,32%,31%,40%,28%,34%,26%,38%,33%,17%,42%,34%,33%,36%,39%,37%,36%,38%,37%,38%,40%,37%,34%,36%,30%,34%,40%,36%,36%,37%,31%,36%,41%,35%,36%,39%,34%,37%,39%,34%,36%,40%,34%,37%,37%
,Don't know,3%,3%,3%,2%,3%,5%,3%,3%,3%,1%,0%,1%,2%,11%,2%,2%,2%,17%,1%,7%,5%,3%,3%,8%,4%,8%,3%,2%,11%,2%,11%,1%,10%,4%,5%,2%,5%,1%,10%,2%,3%,4%,3%,1%,2%,0%,36%,0%,3%,1%,0%,3%,2%,2%,25%,2%,3%,41%,3%,3%,2%,1%,2%,2%,2%,2%,2%,1%,1%,2%,1%,14%,6%,4%,1%,3%,4%,3%,5%,3%,2%,3%,3%,3%,3%,3%,3%,4%,3%,3%,4%,3%,2%
,NET,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q19.5 During the last seven days, on average how much time (if any) have you spent per day following news or current affairs from each of these sources? | Talking to other people",Unweighted base,3683,1599,2061,695,951,907,619,396,115,255,131,688,624,58,662,276,496,229,186,78,222,234,1031,151,484,57,320,109,61,634,40,330,97,271,376,747,88,413,182,1509,901,515,34,928,1099,105,101,81,1336,314,9,1105,639,139,60,2357,1259,67,969,2290,707,1280,397,772,1309,313,1259,1354,246,394,851,328,602,1290,1791,2240,1002,441,814,1646,1223,1308,1711,664,1383,1717,583,954,1778,951,962,1625,1096
,Weighted base,3580,1708,1840,581,834,860,796,389,120,222,166,630,562,121,554,237,410,277,320,82,241,216,982,126,462,64,303,94,56,644,48,333,123,320,420,773,94,364,211,1273,920,721,44,1108,618,103,66,61,1106,355,16,1296,491,159,97,2487,1018,76,1081,2056,664,1258,351,785,1305,258,1202,1374,185,336,821,332,593,1305,1682,2213,989,378,818,1613,1149,1277,1695,608,1354,1700,525,922,1758,900,965,1605,1010
,Less than 1/2 an hour,24%,24%,25%,24%,20%,21%,29%,32%,29%,20%,31%,29%,27%,11%,15%,31%,28%,19%,28%,20%,35%,24%,22%,13%,21%,23%,26%,30%,41%,24%,16%,25%,23%,30%,27%,29%,23%,18%,31%,20%,22%,27%,37%,26%,22%,27%,15%,14%,23%,34%,16%,23%,26%,29%,14%,27%,19%,21%,24%,24%,22%,26%,15%,25%,26%,9%,24%,26%,16%,16%,27%,29%,21%,26%,25%,25%,25%,17%,23%,27%,22%,25%,25%,22%,24%,26%,20%,21%,27%,22%,21%,27%,23%
,1/2 hour to 1 hour,23%,24%,22%,24%,26%,23%,19%,23%,24%,25%,20%,23%,25%,28%,21%,20%,26%,21%,21%,27%,19%,26%,23%,22%,26%,18%,24%,20%,16%,23%,19%,25%,30%,22%,24%,24%,17%,27%,15%,23%,22%,24%,37%,23%,25%,19%,10%,38%,22%,25%,35%,24%,22%,17%,20%,23%,25%,12%,25%,22%,23%,24%,25%,25%,22%,27%,26%,22%,21%,30%,22%,16%,25%,24%,22%,23%,22%,24%,23%,23%,23%,24%,23%,21%,24%,22%,24%,24%,22%,23%,24%,24%,21%
,1 to 2 hours,22%,22%,21%,21%,19%,24%,21%,25%,16%,25%,25%,18%,20%,30%,26%,16%,19%,23%,21%,20%,18%,24%,23%,34%,21%,27%,18%,19%,11%,22%,9%,22%,7%,19%,19%,19%,21%,25%,20%,26%,21%,19%,5%,22%,26%,31%,16%,27%,24%,18%,30%,19%,25%,22%,16%,20%,27%,11%,19%,23%,25%,21%,28%,19%,21%,38%,20%,21%,31%,27%,21%,15%,23%,22%,21%,20%,22%,27%,21%,22%,21%,21%,21%,24%,21%,22%,22%,23%,21%,22%,22%,21%,22%
,More than 2 hours,28%,27%,29%,30%,32%,28%,28%,18%,28%,29%,22%,28%,26%,25%,35%,30%,26%,23%,29%,27%,23%,23%,30%,24%,29%,29%,29%,28%,26%,30%,28%,27%,33%,24%,28%,27%,33%,27%,25%,30%,31%,27%,19%,29%,26%,22%,23%,22%,29%,22%,18%,31%,24%,32%,27%,29%,28%,18%,29%,28%,28%,27%,31%,29%,29%,24%,29%,29%,31%,26%,29%,28%,26%,26%,31%,28%,28%,28%,28%,26%,32%,28%,28%,29%,28%,27%,31%,27%,28%,29%,30%,26%,30%
,Don't know,3%,2%,3%,1%,3%,4%,4%,1%,3%,1%,2%,2%,3%,6%,2%,2%,2%,14%,0%,6%,4%,3%,3%,7%,3%,3%,3%,3%,5%,1%,29%,1%,7%,5%,3%,2%,6%,3%,9%,1%,3%,3%,2%,1%,1%,1%,37%,0%,2%,1%,0%,3%,3%,1%,22%,2%,2%,37%,3%,3%,2%,1%,1%,2%,2%,2%,2%,1%,1%,1%,1%,13%,6%,3%,2%,3%,3%,4%,5%,3%,2%,3%,3%,4%,3%,3%,3%,4%,2%,3%,3%,2%,3%
,NET,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20 How much attention do you generally pay to politics?  ... slider | 0 (None) - 10 (A huge amount),Unweighted base,3831,1668,2143,732,989,919,654,423,114,272,145,723,666,62,674,284,532,206,189,78,240,245,1070,151,499,57,345,109,62,667,31,350,95,292,390,789,93,427,181,1564,941,547,34,971,1148,112,78,84,1371,329,11,1175,674,143,44,2499,1283,49,1010,2368,741,1331,409,816,1357,317,1325,1413,255,404,894,328,609,1344,1878,2328,1055,448,832,1704,1295,1358,1785,688,1431,1807,593,977,1860,994,1003,1687,1141
,Weighted base,3732,1767,1938,618,869,865,840,419,122,237,184,665,606,126,562,247,442,255,325,83,256,227,1019,122,483,61,333,97,59,680,39,353,129,345,434,814,102,377,207,1324,961,762,42,1164,649,109,44,64,1131,369,18,1376,530,161,83,2630,1043,60,1129,2131,708,1312,360,841,1358,262,1276,1436,192,350,872,322,602,1352,1778,2300,1048,385,829,1676,1227,1317,1779,636,1401,1792,539,939,1844,949,1013,1663,1056
,0,4%,3%,4%,5%,4%,3%,4%,2%,0%,4%,7%,4%,2%,1%,2%,3%,6%,6%,3%,2%,10%,3%,2%,1%,3%,2%,5%,7%,2%,3%,0%,4%,6%,7%,5%,4%,3%,1%,6%,2%,4%,6%,15%,3%,2%,6%,11%,0%,3%,5%,0%,3%,5%,2%,12%,3%,4%,9%,3%,4%,4%,2%,3%,4%,2%,2%,4%,3%,4%,4%,3%,7%,3%,3%,4%,4%,3%,4%,3%,4%,4%,4%,3%,4%,4%,4%,3%,4%,3%,4%,3%,3%,5%
,1,5%,5%,5%,6%,5%,4%,5%,6%,5%,6%,6%,3%,4%,7%,3%,7%,8%,7%,6%,0%,6%,4%,6%,2%,5%,10%,5%,7%,3%,5%,12%,1%,11%,9%,6%,6%,13%,4%,5%,2%,5%,7%,0%,3%,4%,7%,14%,5%,5%,4%,0%,5%,6%,3%,5%,5%,5%,3%,5%,5%,7%,3%,4%,5%,6%,2%,5%,4%,1%,3%,5%,7%,5%,6%,5%,5%,5%,4%,5%,5%,5%,5%,5%,5%,5%,5%,4%,4%,5%,5%,5%,5%,5%
,2,7%,6%,8%,11%,7%,6%,7%,2%,7%,12%,5%,8%,7%,10%,4%,9%,8%,5%,4%,7%,9%,5%,6%,5%,9%,5%,7%,6%,8%,8%,14%,4%,9%,7%,8%,10%,6%,6%,11%,4%,7%,9%,5%,5%,5%,12%,8%,2%,5%,7%,0%,8%,7%,10%,6%,7%,5%,12%,6%,7%,8%,5%,4%,6%,6%,5%,8%,6%,4%,5%,7%,12%,5%,6%,8%,8%,6%,4%,7%,7%,7%,8%,6%,7%,6%,7%,7%,6%,7%,7%,7%,6%,7%
,3,8%,7%,9%,14%,9%,5%,7%,7%,7%,13%,6%,7%,12%,6%,4%,7%,9%,10%,8%,11%,10%,6%,7%,5%,10%,9%,8%,7%,14%,9%,14%,10%,8%,12%,13%,11%,8%,7%,8%,4%,8%,10%,20%,8%,7%,8%,8%,13%,5%,7%,8%,10%,10%,7%,11%,9%,6%,7%,9%,8%,9%,8%,6%,8%,7%,4%,8%,8%,7%,8%,8%,12%,8%,9%,8%,8%,8%,6%,7%,9%,7%,9%,9%,6%,8%,9%,5%,8%,9%,7%,9%,9%,7%
,4,6%,5%,7%,8%,7%,4%,6%,4%,8%,4%,2%,7%,6%,12%,7%,4%,7%,6%,4%,6%,8%,5%,6%,3%,6%,3%,3%,6%,4%,6%,17%,8%,10%,8%,7%,7%,4%,6%,3%,5%,6%,6%,3%,6%,4%,11%,3%,3%,5%,7%,4%,6%,5%,8%,4%,6%,6%,2%,5%,6%,6%,5%,5%,7%,6%,6%,7%,6%,4%,5%,5%,6%,5%,6%,6%,7%,6%,1%,7%,6%,5%,7%,6%,3%,7%,6%,4%,6%,7%,4%,5%,7%,5%
,5,13%,11%,16%,15%,14%,14%,12%,14%,9%,15%,11%,14%,13%,17%,10%,12%,13%,18%,16%,9%,13%,12%,13%,13%,15%,11%,11%,22%,9%,14%,10%,13%,22%,14%,12%,14%,7%,16%,16%,12%,16%,13%,21%,13%,11%,16%,23%,14%,12%,14%,14%,15%,12%,15%,15%,15%,10%,28%,16%,12%,12%,12%,10%,14%,12%,13%,13%,13%,10%,11%,12%,24%,11%,14%,13%,12%,17%,9%,12%,14%,13%,12%,16%,10%,10%,17%,11%,13%,15%,12%,11%,15%,12%
,6,13%,12%,13%,14%,11%,15%,13%,11%,13%,11%,12%,11%,13%,13%,15%,7%,13%,15%,15%,9%,8%,15%,12%,16%,12%,15%,14%,12%,14%,13%,8%,14%,10%,14%,14%,12%,13%,9%,15%,13%,12%,11%,8%,13%,15%,12%,11%,5%,15%,11%,13%,12%,11%,13%,10%,12%,14%,9%,14%,13%,13%,13%,14%,12%,14%,13%,14%,13%,11%,15%,12%,8%,11%,15%,12%,12%,14%,13%,11%,14%,12%,11%,13%,15%,11%,14%,12%,11%,14%,12%,12%,14%,11%
,7,19%,21%,17%,13%,19%,20%,18%,25%,18%,16%,19%,17%,18%,17%,23%,19%,17%,16%,22%,24%,12%,20%,21%,24%,17%,13%,22%,10%,20%,19%,9%,17%,12%,12%,18%,16%,23%,24%,14%,22%,18%,18%,18%,20%,20%,12%,16%,39%,20%,16%,22%,18%,18%,12%,30%,17%,22%,18%,17%,19%,16%,20%,22%,20%,20%,22%,17%,20%,24%,25%,20%,11%,25%,17%,18%,20%,17%,20%,22%,19%,17%,20%,18%,18%,19%,18%,20%,21%,18%,18%,21%,17%,19%
,8,14%,15%,12%,6%,12%,16%,16%,18%,13%,10%,22%,14%,12%,11%,17%,19%,10%,7%,11%,20%,11%,16%,14%,18%,11%,20%,14%,14%,11%,12%,1%,16%,9%,10%,11%,10%,9%,14%,10%,19%,12%,10%,6%,15%,18%,15%,5%,17%,16%,16%,13%,11%,15%,15%,6%,12%,18%,6%,12%,15%,14%,16%,18%,12%,14%,19%,13%,14%,20%,13%,16%,6%,15%,13%,13%,12%,14%,18%,13%,13%,14%,12%,13%,16%,14%,12%,16%,13%,13%,15%,13%,14%,14%
,9,6%,7%,6%,3%,5%,7%,7%,9%,12%,4%,5%,9%,5%,6%,7%,9%,4%,7%,3%,8%,9%,7%,5%,7%,6%,10%,7%,5%,2%,7%,14%,6%,0%,5%,4%,5%,5%,9%,4%,9%,6%,4%,5%,8%,8%,0%,0%,1%,8%,8%,11%,6%,5%,11%,0%,7%,6%,2%,7%,7%,5%,9%,7%,8%,8%,7%,6%,7%,7%,5%,7%,4%,8%,6%,6%,7%,5%,7%,9%,5%,6%,7%,6%,7%,9%,5%,6%,9%,5%,7%,8%,6%,6%
,10,6%,7%,4%,4%,7%,7%,6%,3%,8%,3%,4%,5%,7%,0%,10%,2%,5%,3%,8%,5%,3%,8%,7%,7%,6%,3%,2%,4%,12%,5%,0%,7%,5%,3%,3%,5%,9%,6%,9%,7%,7%,5%,0%,5%,7%,1%,1%,2%,7%,4%,16%,6%,5%,4%,2%,6%,5%,3%,7%,5%,7%,7%,7%,5%,5%,7%,6%,7%,7%,7%,5%,4%,5%,4%,7%,5%,4%,13%,5%,4%,9%,5%,4%,10%,5%,5%,11%,6%,4%,9%,6%,4%,8%
,NET 0 - 3,24%,21%,26%,37%,24%,19%,23%,17%,19%,35%,25%,23%,25%,24%,12%,26%,30%,28%,21%,20%,35%,17%,21%,13%,27%,25%,26%,26%,27%,24%,40%,19%,33%,34%,32%,31%,30%,17%,29%,13%,24%,32%,40%,19%,18%,33%,41%,19%,18%,23%,8%,26%,28%,22%,33%,25%,19%,32%,23%,23%,27%,18%,18%,22%,21%,13%,24%,21%,16%,20%,23%,38%,21%,24%,24%,25%,23%,18%,22%,24%,24%,25%,24%,21%,24%,24%,20%,22%,25%,23%,23%,23%,25%
,NET 4- 7,51%,49%,53%,50%,51%,52%,48%,53%,48%,47%,45%,49%,51%,58%,55%,43%,49%,55%,57%,48%,42%,52%,52%,56%,50%,42%,50%,50%,48%,52%,45%,53%,54%,47%,50%,48%,47%,54%,48%,53%,51%,48%,49%,53%,49%,51%,53%,60%,52%,48%,53%,51%,47%,48%,59%,50%,52%,57%,52%,50%,48%,51%,50%,52%,52%,53%,51%,51%,50%,56%,49%,48%,52%,53%,49%,51%,53%,43%,52%,53%,47%,50%,53%,45%,48%,54%,47%,51%,53%,46%,50%,53%,48%
,NET 8 -10,26%,30%,22%,13%,25%,29%,29%,30%,33%,18%,31%,28%,24%,17%,34%,31%,20%,18%,22%,32%,24%,30%,26%,32%,23%,33%,24%,24%,26%,24%,15%,28%,13%,18%,18%,20%,23%,28%,22%,34%,24%,20%,11%,28%,33%,16%,6%,20%,30%,29%,40%,22%,25%,30%,8%,25%,29%,11%,25%,27%,26%,31%,32%,25%,27%,33%,25%,28%,34%,24%,28%,14%,27%,23%,27%,24%,23%,39%,27%,22%,29%,25%,23%,33%,28%,22%,33%,27%,22%,31%,27%,24%,27%
,NET,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
